,accurate_pass,corners,fouls,goals,possession,red_card,shots_off_target,total_offside,total_pass,total_tackle,yellow_card
0,511,3,11,2,55.8,0,5,0,593,29,5
1,506,6,13,3,52.9,0,4,1,586,16,1
2,587,11,14,0,72.2,0,5,1,668,14,2
3,448,3,15,2,54.7,0,5,2,560,37,4
4,503,14,16,1,58.5,1,8,1,562,32,3
5,590,8,6,4,59.7,0,9,0,664,11,2
6,399,7,15,1,52,0,6,3,482,19,3
7,529,3,11,4,61.7,0,4,3,618,20,1
8,691,7,6,2,67.8,0,8,3,777,16,1
9,456,8,14,1,69.5,0,11,2,560,17,1
10,400,7,10,2,58.6,0,9,0,507,14,2
11,578,7,13,2,59.4,0,6,0,665,16,2
12,435,9,10,1,61.8,0,11,1,542,26,2
13,413,2,13,1,57.3,0,4,9,515,15,2
14,351,6,13,3,47.9,1,8,0,441,19,2
15,413,6,9,3,52.1,0,2,4,513,21,1
16,463,10,18,2,62.3,0,5,3,567,21,4
17,535,16,12,0,64.7,0,3,2,634,28,3
18,658,8,17,3,72.5,0,8,3,740,18,2
19,436,8,14,1,57.2,0,4,3,544,27,2
20,591,10,14,3,63.8,0,11,1,655,15,2
21,686,0,8,4,64.5,0,10,1,762,21,1
22,416,11,8,1,51.3,0,4,2,485,22,3
23,273,5,16,2,41.4,0,3,3,385,22,3
24,451,7,8,4,52.9,0,5,2,530,23,3
25,609,10,11,2,69.5,0,7,4,700,18,0
26,612,6,10,2,66.8,0,7,5,675,16,2
27,576,13,11,1,74.1,0,10,0,667,23,1
28,392,7,12,6,59.5,0,9,1,492,15,0
29,707,9,6,3,77.6,0,15,2,761,13,0
30,567,6,9,0,70.2,0,9,0,686,23,1
31,296,7,11,1,45,0,6,1,399,16,4
32,338,7,13,3,44.9,0,2,1,428,9,1
33,387,8,13,2,54.5,0,7,0,475,16,1
34,593,13,9,1,73.6,0,5,3,690,11,2
35,412,0,16,1,52,0,7,6,524,22,3
36,351,2,11,4,49.1,0,3,4,451,22,2
37,534,7,9,5,56.9,0,6,1,604,28,3
38,693,6,9,3,69.1,0,2,0,764,10,1
39,345,5,19,3,49.2,0,6,1,423,17,4
40,400,4,19,1,50,0,10,2,496,17,3
41,405,5,10,4,52.8,0,6,0,490,22,0
42,328,5,10,2,51.5,0,7,1,436,28,0
43,481,11,9,1,65.9,0,12,1,565,14,2
44,376,2,15,2,53.3,0,4,1,474,16,3
45,380,13,8,0,60.7,0,9,1,498,18,3
46,323,4,15,1,50.4,0,3,2,431,21,4
47,406,11,5,1,58.4,0,5,1,530,16,0
48,492,8,7,0,59.3,0,5,1,578,16,1
49,496,5,13,2,53,0,4,3,557,15,3
50,487,12,5,0,55,0,7,3,544,16,0
51,542,6,10,4,66.4,0,6,3,615,15,1
52,334,6,10,0,53.5,0,6,0,462,27,1
53,571,8,16,1,62.7,0,8,1,648,19,2
54,370,7,12,1,46,0,7,4,468,26,1
55,312,6,14,3,45.9,0,1,2,390,28,2
56,426,3,15,3,48.2,0,1,1,509,13,3
57,412,9,8,4,53.2,0,3,1,501,16,0
58,388,7,16,2,57.2,0,9,3,505,22,2
59,414,7,7,2,54.3,0,3,2,487,17,3
60,486,2,9,2,59.8,0,1,0,576,24,1
61,594,9,9,2,58.7,0,8,1,645,15,1
62,402,4,13,1,57.8,0,9,0,498,15,3
63,596,16,10,1,71.5,0,9,2,669,19,1
64,363,9,6,1,54,0,6,3,478,18,1
65,498,7,13,6,64.3,0,8,1,590,20,3
66,470,1,11,5,54.4,0,5,2,566,14,2
67,279,4,13,0,41.3,0,2,0,386,28,2
68,648,12,4,2,70.8,0,10,4,722,16,2
69,528,8,10,0,66.1,0,5,1,625,21,1
70,470,4,8,4,54.4,0,8,4,557,27,1
71,390,3,8,1,56.8,0,3,3,522,27,2
72,739,9,10,4,71.2,0,10,2,811,17,0
73,372,11,9,0,54.5,0,16,2,454,21,1
74,458,8,10,2,62.1,0,4,3,548,11,0
75,356,2,14,0,50.4,0,2,1,470,27,1
76,585,9,11,2,76.9,0,8,1,681,5,1
77,556,5,10,5,67.1,0,5,2,620,19,0
78,398,7,13,4,57.5,0,2,1,493,20,4
79,508,5,5,3,67.1,0,10,3,587,21,1
80,486,4,10,2,60.1,0,8,3,593,23,2
81,526,5,8,4,64.2,1,4,1,591,25,1
82,482,7,9,3,58.4,0,9,2,566,11,4
83,573,13,7,1,72.6,0,5,0,661,17,0
84,488,10,11,1,64.7,0,7,1,582,19,3
85,382,3,10,0,57.7,0,3,5,484,27,2
86,603,7,10,4,69.9,0,4,3,675,10,3
87,554,8,7,1,71,0,11,5,632,15,1
88,337,7,15,2,61.7,0,5,1,447,15,2
89,456,9,14,1,60.7,2,7,2,541,11,2
90,443,8,15,2,66.7,0,8,3,545,13,3
91,590,7,14,3,67.3,0,6,1,683,14,0
92,359,8,11,2,55,1,4,3,450,9,4
93,624,10,9,2,68.8,0,5,4,704,17,2
94,633,11,7,2,77.9,0,8,3,699,7,1
95,593,6,7,0,70.8,0,4,4,672,12,2
96,522,7,11,2,62.3,0,8,2,598,20,3
97,461,6,12,0,57,0,4,2,575,23,1
98,405,5,16,2,63.4,0,4,3,501,20,1
99,361,5,10,2,54.6,0,9,3,473,22,2
100,502,8,9,2,60.6,0,7,4,594,19,4
101,556,7,10,0,69.2,0,8,2,643,19,1
102,591,4,14,4,70.3,0,5,3,673,13,3
103,398,8,15,2,55.6,0,6,6,506,25,2
104,541,9,14,1,60.7,0,6,0,616,11,3
105,515,8,8,0,65.3,0,7,1,621,21,1
106,642,4,4,2,70.8,0,5,3,718,15,0
107,644,7,6,3,67.4,0,10,1,713,22,0
108,489,9,14,1,59.5,0,8,6,563,25,3
109,601,7,8,3,70.8,0,9,2,686,24,1
110,473,11,9,2,68.1,0,10,1,540,10,4
111,547,8,8,3,58.9,0,7,0,628,13,0
112,538,9,12,5,69.2,0,10,2,611,16,1
113,463,9,12,2,65.8,0,5,0,541,15,3
114,658,8,10,5,66.1,0,3,5,730,14,2
115,905,11,8,3,82,0,8,3,976,8,0
116,656,8,6,5,71.9,0,7,0,724,6,3
117,556,1,11,3,54.2,0,1,1,653,11,1
118,784,4,5,3,73.8,0,8,1,854,14,0
119,571,6,7,3,64.3,0,3,3,667,24,3
120,605,13,6,1,70.8,0,6,0,695,13,1
121,902,5,8,1,71.2,0,5,2,976,11,2
122,825,4,8,4,78.8,0,5,4,901,19,0
123,616,8,10,5,70.5,0,6,1,705,11,2
124,942,6,6,5,82.9,0,4,4,1015,14,0
125,516,8,17,2,64.8,0,9,0,596,11,6
126,843,2,7,3,78.3,0,8,1,929,16,3
127,705,7,10,2,74.7,0,6,1,784,13,1
128,614,9,10,3,74.3,0,7,0,695,16,1
129,506,12,10,1,69.7,0,5,2,583,13,2
130,578,8,13,1,61.9,0,6,0,653,19,2
131,370,5,13,4,52.9,0,7,4,456,18,2
132,784,9,8,3,76.7,0,8,1,854,14,1
133,544,5,15,3,58.2,0,2,3,624,18,1
134,763,5,6,4,78.5,0,10,1,834,17,0
135,426,7,12,3,52,0,5,1,511,14,4
136,807,7,11,4,75.4,0,7,1,876,15,1
137,664,10,5,2,77,0,5,2,753,22,2
138,642,7,10,2,79.5,0,7,3,733,21,3
139,668,6,12,2,74.3,0,8,1,778,16,1
140,630,10,9,0,79.2,0,10,1,720,14,0
141,502,8,10,2,64.6,0,3,0,606,18,2
142,814,5,5,7,79.3,0,9,2,892,12,0
143,550,8,11,0,74.5,0,4,2,626,14,4
144,691,10,9,2,78.2,0,5,1,768,10,2
145,461,7,7,1,65.4,1,9,0,560,12,1
146,723,4,10,3,77.4,0,4,1,803,9,2
147,524,5,14,2,70.2,1,7,3,604,13,4
148,576,11,6,6,67.4,0,10,0,637,19,0
149,736,8,6,1,78,0,12,4,824,15,0
150,723,18,5,3,80.5,0,10,4,799,23,0
151,762,10,8,2,77.1,0,8,4,847,16,0
