,accurate_pass,corners,fouls,possession,red_card,result,shots_off_target,total_offside,total_pass,total_tackle,yellow_card
0,551,3,7,61.4,0,2,4,1,668,19,1
1,464,8,11,63.3,0,2,9,2,530,23,0
2,258,2,16,38.7,0,2,1,1,355,30,3
3,508,7,12,55.2,0,2,12,0,573,17,0
4,343,2,12,41.5,0,1,2,1,409,21,4
5,643,9,11,62.5,0,2,6,5,701,5,2
6,673,2,7,71.5,1,2,8,0,757,17,1
7,683,15,7,73.7,0,2,8,5,744,9,1
8,294,8,12,41.6,0,2,3,1,378,22,5
9,348,2,14,47,0,2,1,3,441,29,4
10,491,13,8,64.5,0,2,7,2,576,27,0
11,351,7,14,48.3,1,1,3,2,425,21,5
12,507,7,13,63,0,2,3,7,602,24,2
13,444,5,13,59.6,0,2,3,0,538,18,3
14,549,8,10,65.9,0,1,8,0,617,25,2
15,492,6,14,60.8,0,1,2,3,570,15,2
16,512,2,13,54.6,0,2,8,3,596,12,0
17,367,5,4,49.2,0,2,5,2,452,37,0
18,304,1,9,38.7,0,2,3,3,380,17,1
19,296,1,12,42.8,0,1,1,2,416,29,0
20,473,8,8,64.7,0,2,13,1,577,21,0
21,382,3,10,53.8,0,0,9,0,499,29,1
22,533,10,6,66.5,0,0,13,4,627,25,3
23,342,6,13,47.8,0,1,1,1,433,24,4
24,329,6,6,60.1,0,2,6,3,470,17,1
25,315,4,10,55.1,0,2,4,1,429,16,4
26,466,3,12,61.7,0,2,8,1,556,24,2
27,546,9,5,60.5,0,2,6,2,635,10,1
28,427,6,11,57.1,0,2,2,1,542,21,2
29,559,4,11,59.5,1,0,4,1,623,16,2
30,335,2,11,43,0,1,2,0,447,24,3
31,572,11,12,64.6,0,2,7,1,617,9,2
32,482,9,10,60.9,0,1,8,2,605,14,3
33,202,3,13,29.6,0,2,2,2,283,29,3
34,496,6,1,62.9,0,2,5,3,609,8,0
35,432,10,8,56.1,0,2,8,2,505,11,3
36,474,7,9,61,1,1,6,3,585,28,1
37,415,7,7,49,0,2,4,4,501,16,2
38,347,4,15,52,1,1,5,2,433,16,1
39,367,1,13,50.8,0,0,4,3,443,20,2
40,438,7,5,54,0,1,4,8,525,26,0
41,399,9,10,63.2,0,0,8,1,488,19,1
42,252,4,9,42.3,0,1,3,4,360,23,2
43,517,6,4,64.4,0,2,9,6,606,19,1
44,222,3,6,33.2,0,1,5,0,312,26,2
45,472,7,13,53.4,0,2,3,7,549,23,3
